index,Village_Area_Name,Beat Number,No of Crimes in Each Beat,UNITS,ASI,CHC,CPC,Crime Severity Weights of Beat
40724,MORAB,7,24,"SP, DHARWAD",52,141,278,19.0
40732,ALAGAWADI,3,26,"SP, DHARWAD",52,141,278,28.0
40742,YAMANUR,2,21,"SP, DHARWAD",52,141,278,17.0
40750,BELAVATGI,4,28,"SP, DHARWAD",52,141,278,24.0
40759,SHELAVADI,6,20,"SP, DHARWAD",52,141,278,19.0
40766,ARAHATTI,5,14,"SP, DHARWAD",52,141,278,19.0
40774,ALAGAWADI,9,4,"SP, DHARWAD",52,141,278,12.0
40778,HANASI VILLAGE,36,12,"SP, DHARWAD",52,141,278,14.0
40783,GUDISAGAR VILLAGE,15,11,"SP, DHARWAD",52,141,278,10.0
40786,MORAB,30,6,"SP, DHARWAD",52,141,278,8.0
40789,GUDISAGAR,16,10,"SP, DHARWAD",52,141,278,14.0
40793,IBRAHIMPUR VILLAGE,28,13,"SP, DHARWAD",52,141,278,10.0
40797,SHIRUR VILLAGE,34,7,"SP, DHARWAD",52,141,278,10.0
40800,SHALAWADI VILLAGE,24,18,"SP, DHARWAD",52,141,278,10.0
40804,GOBBARAGUMPI VILLAGE,10,10,"SP, DHARWAD",52,141,278,10.0
40808,MORAB,29,12,"SP, DHARWAD",52,141,278,11.0
40813,GUMMAGOL VILLAGE,33,14,"SP, DHARWAD",52,141,278,14.0
40818,BELAVATAGI VILLAGE,14,6,"SP, DHARWAD",52,141,278,5.0
40821,KONGAWAD VILLAGE,22,6,"SP, DHARWAD",52,141,278,10.0
40825,AYETTI VILLAGE,35,7,"SP, DHARWAD",52,141,278,10.0
40828,JAVUR VILLAGE,40,7,"SP, DHARWAD",52,141,278,10.0
40832,BYALAL VILLAGE,37,6,"SP, DHARWAD",52,141,278,14.0
40837,THIRLAPUR VILLAGE,32,16,"SP, DHARWAD",52,141,278,15.0
40843,HEBBAL VILLAGE,39,7,"SP, DHARWAD",52,141,278,11.0
40848,SHIRKOL VILLAGE,38,13,"SP, DHARWAD",52,141,278,15.0
40854,SOTAKANAL VILLAGE,17,7,"SP, DHARWAD",52,141,278,11.0
40858,TADAHAL VILLAGE,21,10,"SP, DHARWAD",52,141,278,15.0
40864,SOTAKANAL VILLAGE,18,3,"SP, DHARWAD",52,141,278,10.0
40867,BALLUR VILLAGE,41,7,"SP, DHARWAD",52,141,278,10.0
40870,KHANNUR VILLAGE,25,4,"SP, DHARWAD",52,141,278,8.0
40872,PADESUR,11,6,"SP, DHARWAD",52,141,278,10.0
40875,DATANAL VILLAGE,27,7,"SP, DHARWAD",52,141,278,11.0
40880,NAYAKANUR VILLAGE,23,3,"SP, DHARWAD",52,141,278,8.0
40882,HALAKUSAGAL VILLAGE,13,12,"SP, DHARWAD",52,141,278,14.0
40887,DATANAL VILLAGE,26,3,"SP, DHARWAD",52,141,278,7.0
40889,SHANWAD VILLAGE,12,7,"SP, DHARWAD",52,141,278,10.0
40893,TALEMAORAB,31,3,"SP, DHARWAD",52,141,278,11.0
40896,OTHERs,OTHERs,2,"SP, DHARWAD",52,141,278,7.0
40898,GOUDAR ONI BAIRIDEVARAKOPPA,5,34,"SP, DHARWAD",52,141,278,15.0
40904,navanagar Main Road,6,40,"SP, DHARWAD",52,141,278,15.0
40910,APMC MARKET,7,14,"SP, DHARWAD",52,141,278,15.0
40916,Patrakarth Nagar,27,8,"SP, DHARWAD",52,141,278,10.0
40920,Devangapeth,62,5,"SP, DHARWAD",52,141,278,10.0
40924,Gopanakoppa,43,8,"SP, DHARWAD",52,141,278,10.0
40928,Bhavani Nagar,32,8,"SP, DHARWAD",52,141,278,10.0
40932,Tirupati Bazar,59,14,"SP, DHARWAD",52,141,278,10.0
40936,Vijayanagar Layout,46,9,"SP, DHARWAD",52,141,278,14.0
40941,Sundar Town,22,5,"SP, DHARWAD",52,141,278,7.0
40944,Mayuri Estate East,42,6,"SP, DHARWAD",52,141,278,10.0
40948,Vijaya Nagar,31,8,"SP, DHARWAD",52,141,278,10.0
40952,Chandranatha Nagra,38,9,"SP, DHARWAD",52,141,278,10.0
40955,Giriraja nagar,02,4,"SP, DHARWAD",52,141,278,7.0
40957,Shiradinagar,01,10,"SP, DHARWAD",52,141,278,10.0
40961,Gollar Oni,56,6,"SP, DHARWAD",52,141,278,7.0
40964,Gavisiddeshwar Colony,57,6,"SP, DHARWAD",52,141,278,7.0
40967,Melagade Oni Kade Oni Gopanakoppa,55,6,"SP, DHARWAD",52,141,278,10.0
40971,Sagar Colony,21,3,"SP, DHARWAD",52,141,278,6.0
40974,Adyapaka Nagar North,19,7,"SP, DHARWAD",52,141,278,10.0
40977,Shanti Colony,29,7,"SP, DHARWAD",52,141,278,12.0
40980,Shiva Colony,61,6,"SP, DHARWAD",52,141,278,10.0
40984,Others,Others,29,"SP, DHARWAD",52,141,278,15.0
40990,Forest Colony,09,1,"SP, DHARWAD",52,141,278,3.0
40991,Devangapeth Banshankari Temple,44,8,"SP, DHARWAD",52,141,278,10.0
40995,Madhura Park Vinayak Colony,18,6,"SP, DHARWAD",52,141,278,10.0
40998,Madhava Nagar,49,7,"SP, DHARWAD",52,141,278,7.0
41001,Donbar Oni Oddar Oni Harijan Keri Gopanakoppa,53,6,"SP, DHARWAD",52,141,278,7.0
41004,Mahalakshami Layout,60,9,"SP, DHARWAD",52,141,278,14.0
41008,Bhavani Nagar,35,7,"SP, DHARWAD",52,141,278,10.0
41012,Rajanagar Uttar,05,3,"SP, DHARWAD",52,141,278,8.0
41015,Hatri Colony,58,5,"SP, DHARWAD",52,141,278,11.0
41020,Hugar Plot,51,4,"SP, DHARWAD",52,141,278,8.0
41023,Tirupti Bajar,30,3,"SP, DHARWAD",52,141,278,9.0
41025,Ashok Nagar South,26,3,"SP, DHARWAD",52,141,278,8.0
41028,Gurudeva Nagar,03,1,"SP, DHARWAD",52,141,278,3.0
41029,Sai Layout,47,2,"SP, DHARWAD",52,141,278,5.0
41031,Adyapaka Nagar South,20,2,"SP, DHARWAD",52,141,278,8.0
41033,Indira Nagar Rajendra Prasad Colony,37,3,"SP, DHARWAD",52,141,278,3.0
41035,Ashok Nagar North,25,3,"SP, DHARWAD",52,141,278,3.0
41037,Chandranath NagarRailway Under Bridge,39,1,"SP, DHARWAD",52,141,278,3.0
41038,Devangapetha Veerabhadreshwar Temple,45,3,"SP, DHARWAD",52,141,278,10.0
41041,Rajajinagar,50,3,"SP, DHARWAD",52,141,278,10.0
41044,Gopanakoppa Goudar Oni Choudi Oni,54,4,"SP, DHARWAD",52,141,278,6.0
41047,ShaKhabari Bawavane,52,1,"SP, DHARWAD",52,141,278,3.0
41048,Bapuji Nagar,04,3,"SP, DHARWAD",52,141,278,7.0
41050,Deshapande Layout,40,2,"SP, DHARWAD",52,141,278,8.0
41052,Silver Park Magadi Park,48,1,"SP, DHARWAD",52,141,278,2.0
41053,Revinue Colony,08,2,"SP, DHARWAD",52,141,278,5.0
41055,HOSAGABBUR FIRST CROSS,61,16,"SP, DHARWAD",52,141,278,11.0
41060,K.B.NAGAR,60,14,"SP, DHARWAD",52,141,278,10.0
41064,VEERAPUR ONI,59,12,"SP, DHARWAD",52,141,278,8.0
41068,KASTURABNAGAR MANTUR ROAD,58,19,"SP, DHARWAD",52,141,278,11.0
41073,SETTLEMENT,36,7,"SP, DHARWAD",52,141,278,10.0
41077,HONNALLI PLOT,54,2,"SP, DHARWAD",52,141,278,2.0
41079,HOSA GABBUR,4,20,"SP, DHARWAD",52,141,278,14.0
41084,GOLLAR COLONY,30,8,"SP, DHARWAD",52,141,278,7.0
41087,BIDNAL,8,12,"SP, DHARWAD",52,141,278,10.0
41091,KALBURGI,47,5,"SP, DHARWAD",52,141,278,7.0
41094,SHANTI NIKETANA COLONY,39,11,"SP, DHARWAD",52,141,278,15.0
41100,DIVANASH NAGAR,3,7,"SP, DHARWAD",52,141,278,11.0
41105,SETLAMENT GANGADAR NAGAR,35,12,"SP, DHARWAD",52,141,278,10.0
41108,BHANNIMAKALI NAGAR,40,14,"SP, DHARWAD",52,141,278,12.0
41113,MILLAT NAGAR MANTUR ROAD,64,12,"SP, DHARWAD",52,141,278,11.0
41118,SETLEMENT GANGADHAR NAGAR,37,7,"SP, DHARWAD",52,141,278,7.0
41121,UNDI PLOT,1,6,"SP, DHARWAD",52,141,278,10.0
41125,RUDRADEVARA HAKKAL,43,3,"SP, DHARWAD",52,141,278,7.0
41128,VEERAPUR ONI NEAR KAREYAMMA,27,11,"SP, DHARWAD",52,141,278,10.0
41132,M D COLONY,22,4,"SP, DHARWAD",52,141,278,10.0
41136,BYALI PLOTA MANTUR ROAD,49,9,"SP, DHARWAD",52,141,278,14.0
41140,SUNNAD BHATTI MANTUR ROAD,55,5,"SP, DHARWAD",52,141,278,10.0
41144,SONIYA GANDHI NAGAR,14,9,"SP, DHARWAD",52,141,278,10.0
41148,CHRISTIAN COLONY,67,8,"SP, DHARWAD",52,141,278,11.0
41152,M D COLONY,23,4,"SP, DHARWAD",52,141,278,10.0
41155,SETLAMENT GANGADAR NAGAR,34,13,"SP, DHARWAD",52,141,278,14.0
41160,BASAVANAGAR,6,9,"SP, DHARWAD",52,141,278,7.0
41163,BIDNAL MARUTI NAGAR,9,6,"SP, DHARWAD",52,141,278,11.0
41168,KARKI BASAVESHWAR NAGAR,19,12,"SP, DHARWAD",52,141,278,14.0
41173,KRUPA NAGAR MANTUR ROAD,63,12,"SP, DHARWAD",52,141,278,15.0
41179,KOLACHE NIRMULAN PRADESH OL,68,13,"SP, DHARWAD",52,141,278,14.0
41184,KARKI BASAVESHWAR NAGAR,20,6,"SP, DHARWAD",52,141,278,7.0
41187,BIDNALA LAXMI NAGAR,10,8,"SP, DHARWAD",52,141,278,10.0
41191,SONIYA GANDHI NAGAR,16,3,"SP, DHARWAD",52,141,278,7.0
41194,GHANTIKERI ONI,33,8,"SP, DHARWAD",52,141,278,10.0
41197,GHANDI EKTA COLONY,51,8,"SP, DHARWAD",52,141,278,10.0
41201,BYALI PLOTA MANTUR ROAD,50,6,"SP, DHARWAD",52,141,278,7.0
41204,HEMMARADDY MALLAMMA NAGAR,11,2,"SP, DHARWAD",52,141,278,3.0
41206,MANGASI PLOT MANTUR ROAD,53,11,"SP, DHARWAD",52,141,278,14.0
41211,GUNJAL PLOT,62,3,"SP, DHARWAD",52,141,278,5.0
41213,VAWLEKAR HAKKALA,2,4,"SP, DHARWAD",52,141,278,7.0
41216,SANNAKERI,31,2,"SP, DHARWAD",52,141,278,5.0
41218,KRUSHI KARMIK NAGAR,21,11,"SP, DHARWAD",52,141,278,10.0
41221,SHARANA NAGAR,5,8,"SP, DHARWAD",52,141,278,14.0
41226,BIDNALA ANCHATAGERI ONI,7,5,"SP, DHARWAD",52,141,278,10.0
41229,MADANI COLONY,24,1,"SP, DHARWAD",52,141,278,3.0
41230,BALVANA CHOUKI,41,6,"SP, DHARWAD",52,141,278,10.0
41234,DODDAMANI CHALA,65,11,"SP, DHARWAD",52,141,278,10.0
41238,BHRAMALINGESHWAR,12,2,"SP, DHARWAD",52,141,278,5.0
41240,SONIYA GANDHI NAGAR,15,9,"SP, DHARWAD",52,141,278,11.0
41245,AHMMEDA NAGAR MANTUR ROAD,57,4,"SP, DHARWAD",52,141,278,10.0
41248,PATILA GALLI,26,5,"SP, DHARWAD",52,141,278,10.0
41252,TANTI ONI,44,2,"SP, DHARWAD",52,141,278,3.0
41254,KARIGANNAVAR HAKKAL,25,3,"SP, DHARWAD",52,141,278,8.0
41256,AGASAR ONI,32,4,"SP, DHARWAD",52,141,278,11.0
41260,AMTE CHALA MANTUR ROAD,46,3,"SP, DHARWAD",52,141,278,7.0
41262,GANESH COLONY MANTUR ROAD,56,3,"SP, DHARWAD",52,141,278,2.0
41264,BIDNALA MARUTI NAGAR,48,1,"SP, DHARWAD",52,141,278,5.0
41265,BIDI KARMIK NAGAR,17,7,"SP, DHARWAD",52,141,278,10.0
41269,DODDAKERI,42,6,"SP, DHARWAD",52,141,278,10.0
41273,KEB OFFICE VASATI GRAHA,45,2,"SP, DHARWAD",52,141,278,3.0
41275,AKKI CHALA,28,1,"SP, DHARWAD",52,141,278,3.0
41276,GHANDI EKTA COLONY,52,1,"SP, DHARWAD",52,141,278,5.0
41277,PANDURANGA COLONY,13,2,"SP, DHARWAD",52,141,278,3.0
41278,KAMANAGAR GALLI,29,1,"SP, DHARWAD",52,141,278,5.0
41279,UNDI PLOT DODDAMANI CHALA,66,1,"SP, DHARWAD",52,141,278,3.0
41280,HUBBALLI SUB URBAN P.S LIMITS BRUNDAVAN CIRCLE,HUBBALLI,2,"SP, DHARWAD",52,141,278,7.0
41282,HUBLI LIMITS,COP HUBLI DHARWAD,5,"SP, DHARWAD",52,141,278,14.0
41286,FOREST QTRS,68,21,"SP, DHARWAD",52,141,278,14.0
41291,PHQ ROAD,6,36,"SP, DHARWAD",52,141,278,15.0
41297,SAIYADAPUR,652,24,"SP, DHARWAD",52,141,278,15.0
41303,SAPTAPUR BHAVI CIRCLE,3,30,"SP, DHARWAD",52,141,278,15.0
41309,NARAYANAPUR WEST,5,24,"SP, DHARWAD",52,141,278,15.0
41315,SRINAGAR CIRCLE,7,28,"SP, DHARWAD",52,141,278,15.0
41321,DASANAKOPPA CIRCLE,4,25,"SP, DHARWAD",52,141,278,15.0
41327,CENTRAL JAIL,8,30,"SP, DHARWAD",52,141,278,15.0
41333,KAMALAPUR,03,15,"SP, DHARWAD",52,141,278,10.0
41337,KILLA,01,26,"SP, DHARWAD",52,141,278,15.0
41343,KONDWAD ONI,02,13,"SP, DHARWAD",52,141,278,11.0
41348,CENTRAL PARK HOTEL ROAD,16,19,"SP, DHARWAD",52,141,278,15.0
41354,HARIJANKERI,05,9,"SP, DHARWAD",52,141,278,11.0
41359,HOSA KUMBAR ONI,04,5,"SP, DHARWAD",52,141,278,7.0
41362,PATHAN HALL,06,3,"SP, DHARWAD",52,141,278,5.0
41365,KRUPALIS COMPOUND,2,30,"SP, DHARWAD",52,141,278,15.0
41371,SHIVALLI PLOT,1,27,"SP, DHARWAD",52,141,278,15.0
41377,RAMANAGAR MAIN ROAD,3,35,"SP, DHARWAD",52,141,278,15.0
41383,M.R. NAGAR,1,23,"SP, DHARWAD",52,141,278,14.0
41388,VINAYA KULKARNI BADAVANE,5,25,"SP, DHARWAD",52,141,278,15.0
41394,MANAKILLA MAIN ROAD,2,37,"SP, DHARWAD",52,141,278,15.0
41400,WALMIKI ONI,4,30,"SP, DHARWAD",52,141,278,15.0
41406,BYPASS ROAD NEAR HALIYAL BRIDGE,3,2,"SP, DHARWAD",52,141,278,3.0
41407,NEAR HINDI PRACHAR SABHA,2,2,"SP, DHARWAD",52,141,278,3.0
41408,JUBLI CIRCLE,1,3,"SP, DHARWAD",52,141,278,3.0
41409,HUBBALLI CITY LIMITS,HUBBALLI CITY,2,"SP, DHARWAD",52,141,278,2.0
41410,DHARAWAD CITY LIMITS,DHARAWAD CITY,2,"SP, DHARWAD",52,141,278,2.0
41411,GARDENPET HUBLI,5,15,"SP, DHARWAD",52,141,278,14.0
41416,HIREPET,6,21,"SP, DHARWAD",52,141,278,15.0
41422,SARAFGATTI,1,18,"SP, DHARWAD",52,141,278,15.0
41428,MANGALAVARPET,3,16,"SP, DHARWAD",52,141,278,10.0
41432,VALVEKARGALLI,2,16,"SP, DHARWAD",52,141,278,10.0
41436,BADIGER ONI,4,15,"SP, DHARWAD",52,141,278,10.0
41440,Green Garden,1,34,"SP, DHARWAD",52,141,278,15.0
41446,Ravi Nagar Left Side,3,25,"SP, DHARWAD",52,141,278,15.0
41452,Maniyarachal,2,32,"SP, DHARWAD",52,141,278,15.0
41458,Shakti Nagar,5,23,"SP, DHARWAD",52,141,278,15.0
41464,Priyadarshini Colony,6,20,"SP, DHARWAD",52,141,278,14.0
41469,Sanmarga Nagar,4,23,"SP, DHARWAD",52,141,278,15.0
41475,Gokul Village,7,27,"SP, DHARWAD",52,141,278,15.0
41481,other,other,15,"SP, DHARWAD",52,141,278,10.0
41485,KSRTC Quarters,09,1,"SP, DHARWAD",52,141,278,2.0
41486,Ramlingeshwar Nagar,27,2,"SP, DHARWAD",52,141,278,2.0
41488,Bassavwshwar Nagar,24,2,"SP, DHARWAD",52,141,278,5.0
41490,Jagadish Nagar,66,2,"SP, DHARWAD",52,141,278,2.0
41492,Shivapur Colony,03,1,"SP, DHARWAD",52,141,278,2.0
41493,Akshay Colony Forth Stage,20,2,"SP, DHARWAD",52,141,278,7.0
41495,Gandhi Nagar,30,2,"SP, DHARWAD",52,141,278,5.0
41497,Laxmi Narayan Nagar,16,1,"SP, DHARWAD",52,141,278,2.0
41498,Aksha Park,06,3,"SP, DHARWAD",52,141,278,5.0
41501,Kallur Layout,10,1,"SP, DHARWAD",52,141,278,2.0
41502,Sarswatipur,34,1,"SP, DHARWAD",52,141,278,2.0
41503,J P Nagar,53,1,"SP, DHARWAD",52,141,278,2.0
41504,Nisarg Nagar,38,1,"SP, DHARWAD",52,141,278,2.0
41505,Vivekanand Nagar,31,1,"SP, DHARWAD",52,141,278,2.0
41506,Arjun Vihar,48,1,"SP, DHARWAD",52,141,278,2.0
41507,Vinayak Nagar,11,1,"SP, DHARWAD",52,141,278,2.0
41508,Surabhi Nagar,40,1,"SP, DHARWAD",52,141,278,2.0
41509,Sarswatipur,33,1,"SP, DHARWAD",52,141,278,5.0
41510,Mailarlingeswar Nagar,61,1,"SP, DHARWAD",52,141,278,1.0
41511,Venkateshwar Nagar,43,1,"SP, DHARWAD",52,141,278,2.0
41512,Banjar Colony,65,1,"SP, DHARWAD",52,141,278,5.0
41513,Airport,58,1,"SP, DHARWAD",52,141,278,2.0
41514,Green Gurden,01,1,"SP, DHARWAD",52,141,278,5.0
41515,Ashokvan Left Side,49,1,"SP, DHARWAD",52,141,278,3.0
41516,Dollars Colony,04,1,"SP, DHARWAD",52,141,278,5.0
41517,Rajadani Colony,02,1,"SP, DHARWAD",52,141,278,0.0
41518,busappa chowk mydar oni,town dharwad,1,"SP, DHARWAD",52,141,278,5.0
41519,klyan nagar dharwad,vidyagiri dharwad,3,"SP, DHARWAD",52,141,278,5.0
41520,hubli manjunathanagar,gokulroad hubli,4,"SP, DHARWAD",52,141,278,6.0
41522,SAPTAPUR,subarban dharwad,5,"SP, DHARWAD",52,141,278,6.0
41524,unkal shivagiri,vidyanagar hubli,2,"SP, DHARWAD",52,141,278,5.0
41525,BENGERI HUBLI,ashokanagar hubli,4,"SP, DHARWAD",52,141,278,5.0
41526,other p.s limits,other ps limits,2,"SP, DHARWAD",52,141,278,5.0
41527,keshwapur walvekar plot,keshwapur ps limts,4,"SP, DHARWAD",52,141,278,9.0
41529,old hubli,OLDHUBLI,2,"SP, DHARWAD",52,141,278,5.0
41530,OLD BUS STAND NEAR BATA SHOP,subarban hubli,3,"SP, DHARWAD",52,141,278,5.0
41531,BANKAPUR CHOWK,bendigeri hubli,4,"SP, DHARWAD",52,141,278,6.0
41533,oldhubli gousiya town islampur road,oldhubli hubli,2,"SP, DHARWAD",52,141,278,5.0
41534,veerapur oni pagadi galli hubli,Gantikeri hubli,2,"SP, DHARWAD",52,141,278,6.0
41536,MANTUR ROAD AMBEDKAR COLONY,Mantur road  Ambedkar colony,1,"SP, DHARWAD",52,141,278,5.0
41537,ramu,VIDYANAGAR,1,"SP, DHARWAD",52,141,278,5.0
41538,HUBLI,apmc navanagar hubli,3,"SP, DHARWAD",52,141,278,6.0
41540,ISHWAR NAGAR,KASABAPETH POLICE STATION LIMI,2,"SP, DHARWAD",52,141,278,5.0
41541,koppikar road hubli,town hubli,1,"SP, DHARWAD",52,141,278,5.0
41542,hubli keshwapur bengeri,hubli keshwapur bengeri,1,"SP, DHARWAD",52,141,278,5.0
41543,vidyaranyya nagar,vidyaranya nagar,2,"SP, DHARWAD",52,141,278,6.0
41545,BANGALORE HSR LAYOUT,OTHER UNIT,1,"SP, DHARWAD",52,141,278,5.0
41546,EXTENSION AREA,HARIHAR,2,"SP, DHARWAD",52,141,278,7.0
41548,Arvind nagar old hubli,OLDHUBLI ARAVINDNAGAR,1,"SP, DHARWAD",52,141,278,5.0
41549,KOLEKARPLOT SADARSOFA,kasabapete hubli,1,"SP, DHARWAD",52,141,278,5.0
41550,SARVODAYA CIRCLE,KESHWAPUR,2,"SP, DHARWAD",52,141,278,3.0
41551,TADPATRIGALLI CROSS,KAMARIPETH,2,"SP, DHARWAD",52,141,278,3.0
41552,SHIRADI NAGAR,ASHOK NAGAR,2,"SP, DHARWAD",52,141,278,3.0
41553,BRINDAVAN CIRCLE,HUBLI SUBURBAN,2,"SP, DHARWAD",52,141,278,3.0
41554,RALIWAY STATION,HUBLI TOWN,2,"SP, DHARWAD",52,141,278,3.0
41555,MADURA COLONY CROSS,NAVALAGUND ROAD,1,"SP, DHARWAD",52,141,278,3.0
41556,APMC,6,2,"SP, DHARWAD",52,141,278,3.0
41557,Gokul Road,5,2,"SP, DHARWAD",52,141,278,3.0
41558,Ravinagar Road,4,2,"SP, DHARWAD",52,141,278,3.0
41559,MIRJANKAR PUMP,2,2,"SP, DHARWAD",52,141,278,3.0
41560,K C CIRCLE,1,3,"SP, DHARWAD",52,141,278,3.0
41561,ASHOKNAGAR,7,1,"SP, DHARWAD",52,141,278,3.0
41562,GABBUR CROSS,4,2,"SP, DHARWAD",52,141,278,3.0
41563,SONIYAGANDIANGAR,1,4,"SP, DHARWAD",52,141,278,6.0
41565,INDIPUMP CIRCLE,OLD HUBLI PS,2,"SP, DHARWAD",52,141,278,3.0
41566,STATION ROAD,3,2,"SP, DHARWAD",52,141,278,3.0
41567,JAVALISAL ROAD,2,2,"SP, DHARWAD",52,141,278,3.0
41568,INDIPUMP CIRCLE,5,2,"SP, DHARWAD",52,141,278,3.0
41569,New Cotton Market Hubli,3,38,"SP, DHARWAD",52,141,278,15.0
41575,Girani chawl,6,34,"SP, DHARWAD",52,141,278,15.0
41581,Dajibanpet,5,32,"SP, DHARWAD",52,141,278,15.0
41587,BAILAPPANAVAR NAGAR,1,20,"SP, DHARWAD",52,141,278,14.0
41592,Court Circle,4,38,"SP, DHARWAD",52,141,278,15.0
41598,other ps limits,8,1,"SP, DHARWAD",52,141,278,4.0
41599,Mirjanakar Petrol Pump,50,1,"SP, DHARWAD",52,141,278,3.0
41600,Tadapatri Road,53,1,"SP, DHARWAD",52,141,278,5.0
41601,KALAMMANAAGASI,5,27,"SP, DHARWAD",52,141,278,14.0
41606,COIN ROAD,3,29,"SP, DHARWAD",52,141,278,15.0
41612,COIN ROAD,4,36,"SP, DHARWAD",52,141,278,15.0
41618,DURGADBAIL,1,21,"SP, DHARWAD",52,141,278,14.0
41623,C B T,2,27,"SP, DHARWAD",52,141,278,15.0
41629,THABIBLAND,6,28,"SP, DHARWAD",52,141,278,15.0
41635,TUMAKUR ONI,1,20,"SP, DHARWAD",52,141,278,14.0
41640,DIVATE ONI,2,22,"SP, DHARWAD",52,141,278,15.0
41646,GAVI ONI,3,26,"SP, DHARWAD",52,141,278,15.0
41652,OLDHUBLI CHANNAPETH DHOBI GHAT,5,15,"SP, DHARWAD",52,141,278,15.0
41658,OLD HUBLI PADADAYYANHAKKAL,3,14,"SP, DHARWAD",52,141,278,14.0
41663,TIPPU NAGAR,2,20,"SP, DHARWAD",52,141,278,15.0
41669,SHIVASOMESWARA NAGARA,4,13,"SP, DHARWAD",52,141,278,10.0
41673,IBRAHIMPUR,23,14,"SP, DHARWAD",52,141,278,11.0
41678,OLD GABBUR,29,25,"SP, DHARWAD",52,141,278,15.0
41684,SHIVASOMESHWAR NAGAR,65,11,"SP, DHARWAD",52,141,278,10.0
41688,ISHWAR NAGAR,527,8,"SP, DHARWAD",52,141,278,10.0
41692,BANKAPUR CHOUK,BANKAPUR CHOWK,14,"SP, DHARWAD",52,141,278,11.0
41697,NETAJI COLONY,36,7,"SP, DHARWAD",52,141,278,10.0
41701,VINAYAK CHOWK,37,8,"SP, DHARWAD",52,141,278,14.0
41705,S M K NAGAR SOUTH,32,7,"SP, DHARWAD",52,141,278,7.0
41708,RAHGAVENDRA CIRCLE,66,6,"SP, DHARWAD",52,141,278,7.0
41711,ISLAMPUR,60,13,"SP, DHARWAD",52,141,278,14.0
41716,JAVALI PLOT,61,8,"SP, DHARWAD",52,141,278,10.0
41720,ISHWAR NAGAR,514,11,"SP, DHARWAD",52,141,278,14.0
41725,RANADAMMA COLONY,42,11,"SP, DHARWAD",52,141,278,14.0
41730,KUMBAR ONI,10,1,"SP, DHARWAD",52,141,278,2.0
41731,VADDAR ONI,54,8,"SP, DHARWAD",52,141,278,7.0
41734,KAMMARSAL,14,6,"SP, DHARWAD",52,141,278,10.0
41738,SHAKTI NAGAR,28,5,"SP, DHARWAD",52,141,278,5.0
41741,KURUBAR ONI,55,1,"SP, DHARWAD",52,141,278,2.0
41742,TIPPUNAGAR AROUND,48,8,"SP, DHARWAD",52,141,278,7.0
41745,MASTANSOFA WEST,08,4,"SP, DHARWAD",52,141,278,10.0
41748,S M K NAGAR NORTH,31,11,"SP, DHARWAD",52,141,278,15.0
41754,MYADAR ONI,12,10,"SP, DHARWAD",52,141,278,14.0
41759,ALTAF NAGAR,20,11,"SP, DHARWAD",52,141,278,11.0
41764,N A NAGAR,18,9,"SP, DHARWAD",52,141,278,11.0
41769,AKKIPETH,11,6,"SP, DHARWAD",52,141,278,10.0
41772,MALEKAR PLOT,49,3,"SP, DHARWAD",52,141,278,5.0
41774,KALMESHWAR NAGAR,57,8,"SP, DHARWAD",52,141,278,11.0
41779,RENUKA COLONY,34,9,"SP, DHARWAD",52,141,278,10.0
41783,VITTALPETH,59,8,"SP, DHARWAD",52,141,278,11.0
41787,SADARASOFA,1,15,"SP, DHARWAD",52,141,278,14.0
41792,INDIRA NAGAR,25,13,"SP, DHARWAD",52,141,278,14.0
41797,GUDI ONI,58,5,"SP, DHARWAD",52,141,278,10.0
41801,GOUSIYA TOWN,46,12,"SP, DHARWAD",52,141,278,10.0
41805,GANESH COLONY,35,8,"SP, DHARWAD",52,141,278,10.0
41808,VADDAR ONI,53,4,"SP, DHARWAD",52,141,278,10.0
41812,JANNAT NAGAR,56,9,"SP, DHARWAD",52,141,278,11.0
41817,RAZATOWN,47,5,"SP, DHARWAD",52,141,278,11.0
41821,BALAJI COLONY,43,1,"SP, DHARWAD",52,141,278,0.0
41822,NARAYANSOFA,30,9,"SP, DHARWAD",52,141,278,10.0
41826,AMBEDKAR NAGAR,17,6,"SP, DHARWAD",52,141,278,10.0
41830,MARUTI CIRCLE,40,8,"SP, DHARWAD",52,141,278,10.0
41833,ISHWAR NAGAR FIRST CROSS TO THIRD CROSS,501,15,"SP, DHARWAD",52,141,278,10.0
41837,KAMANGAR PLOT,26,3,"SP, DHARWAD",52,141,278,7.0
41840,SHREERAM COLONY,67,3,"SP, DHARWAD",52,141,278,7.0
41843,KATAGAR ONI,45,7,"SP, DHARWAD",52,141,278,10.0
41846,KAYAK NAGAR,68,9,"SP, DHARWAD",52,141,278,14.0
41851,BASAVESHWAR CIRCLE,38,8,"SP, DHARWAD",52,141,278,7.0
41854,DHOBI GHAT,16,4,"SP, DHARWAD",52,141,278,8.0
41857,KARJAGI ONI,24,7,"SP, DHARWAD",52,141,278,14.0
41862,BELAMAKAR ONI,27,4,"SP, DHARWAD",52,141,278,7.0
41864,JIGALUR BUILDING BANKAPUR CHOUK,64,6,"SP, DHARWAD",52,141,278,10.0
41868,SIDDARTH COLONY,15,1,"SP, DHARWAD",52,141,278,4.0
41869,AKKASALIGAR ONI,22,2,"SP, DHARWAD",52,141,278,5.0
41871,vinay colony,3,22,"SP, DHARWAD",52,141,278,15.0
